,fsk_rssi,voltage,current,altitude,latitude,longitude,tas,gps_used,fix_type,satellites_num,roll,yaw,pitch,motor_status,imu_status,press_compass_status,f_mode,gps_status,vehicle_type,error_flags1,gps_accH
20170727 08:54:13:797,-42,15.3,0.0,1.9596578E7,0.0065536,-124.148254,1.0104455,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:13:814,-45,15.3,0.0,0.03,41.656956,-83.60696,0.03,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:13:832,-42,15.3,0.0,0.03,41.656956,-83.60696,0.03,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:13:847,-46,15.3,0.0,0.03,41.656956,-83.60696,0.03,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:13:906,-43,15.3,0.0,0.02,41.656956,-83.60696,0.031622775,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:14:165,-35,15.3,0.0,0.02,41.656956,-83.60696,0.045825757,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:14:233,-34,15.3,0.0,0.02,41.656956,-83.60696,0.05385165,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:14:267,-34,15.3,0.0,0.02,41.656956,-83.60696,0.05385165,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:14:307,-40,15.3,0.0,0.01,41.656956,-83.60696,0.041231055,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.9
20170727 08:54:14:504,-42,15.3,0.0,0.01,41.656956,-83.60696,0.053851645,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:566,-38,15.3,0.0,0.0,41.656956,-83.60696,0.037416574,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:606,-43,15.3,0.0,0.0,41.656956,-83.60696,0.037416574,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:646,-41,15.3,0.0,0.0,41.656956,-83.60696,0.037416574,false,0,15,2.71,0.22000122,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:688,-44,15.3,0.0,0.0,41.656956,-83.60696,0.045825757,false,0,15,2.71,0.22000122,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:727,-41,15.3,0.0,0.0,41.656956,-83.60696,0.048989795,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:768,-44,15.3,0.0,0.0,41.656956,-83.60696,0.048989795,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:808,-45,15.3,0.0,0.0,41.656956,-83.60696,0.048989795,false,0,15,2.7,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:848,-44,15.3,0.0,0.0,41.656956,-83.60696,0.048989795,false,0,15,2.7,0.22000122,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:889,-41,15.3,0.0,0.0,41.656956,-83.60696,2.5403345,false,0,15,2.7,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:929,-41,15.3,0.0,0.0,41.656956,-83.60696,0.057445627,false,0,15,2.7,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:14:968,-41,15.3,0.0,-0.01,41.656956,-83.60696,0.057445627,false,0,15,2.7,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:009,-40,15.3,0.0,-0.01,41.656956,-83.60696,0.057445627,false,0,15,2.7,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:051,-43,15.3,0.0,-0.01,41.656956,-83.60696,0.057445627,false,0,15,2.7,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:104,-41,15.3,0.0,-0.01,41.656956,-83.60696,2.5200398,false,0,15,2.7,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:128,-40,15.3,0.0,-0.02,41.656956,-83.606964,0.014142135,false,0,15,2.7,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:167,-41,15.3,0.0,-0.03,41.656956,-83.606964,0.014142135,false,0,15,2.7,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:207,-43,15.3,0.0,-0.03,41.656956,-83.606964,0.014142135,false,0,15,2.7,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:253,-39,15.3,0.0,-0.03,41.656956,-83.606964,0.014142135,false,0,15,2.7,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:332,-37,15.3,0.0,-0.04,41.656956,-83.606964,0.045825757,false,0,15,2.7,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:382,-37,15.3,0.0,-0.04,41.656956,-83.606964,0.045825757,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:415,-36,15.3,0.0,-0.04,41.656956,-83.606964,0.045825757,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:465,-35,15.3,0.0,-0.04,41.656956,-83.606964,0.045825757,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:503,-39,15.3,0.0,-0.05,41.656956,-83.606964,0.048989795,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:538,-33,15.3,0.0,-0.05,41.656956,-83.606964,0.045825757,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:580,-37,15.3,0.0,-0.06,41.656956,-83.606964,0.045825757,false,0,15,2.7,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:610,-33,15.3,0.0,-0.06,41.656956,-83.606964,0.045825757,false,0,15,2.7,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:647,-38,15.3,0.0,-0.07,41.656956,-83.606964,0.045825757,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.85
20170727 08:54:15:707,-36,15.3,0.0,-0.07,41.656956,-83.606964,0.045825757,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:15:746,-32,15.3,0.0,-0.07,41.656956,-83.606964,0.045825757,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:15:808,-37,15.3,0.0,-0.07,41.656956,-83.606964,0.045825757,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:15:848,-31,15.3,0.0,-0.07,41.656956,-83.606964,0.045825757,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:15:889,-36,15.3,0.0,-0.07,41.656956,-83.606964,2.5400786,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:15:930,-33,15.3,0.0,-0.07,41.656956,-83.606964,0.022360679,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:15:969,-37,15.3,0.0,-0.08,41.656956,-83.606964,0.022360679,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:012,-33,15.3,0.0,-0.08,41.656956,-83.606964,0.022360679,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:050,-36,15.3,0.0,-0.08,41.656956,-83.606964,0.022360679,false,0,15,2.71,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:099,-37,15.3,0.0,-0.09,41.656956,-83.606964,2.5500393,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:130,-36,15.3,0.0,-0.09,41.656956,-83.606964,0.017320508,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:171,-33,15.3,0.0,-0.09,41.656956,-83.606964,0.017320508,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:213,-33,15.3,0.0,-0.09,41.656956,-83.606964,0.017320508,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:251,-31,15.3,0.0,-0.09,41.656956,-83.606964,0.017320508,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:291,-33,15.3,0.0,-0.1,41.656956,-83.606964,0.050990194,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:332,-36,15.3,0.0,-0.1,41.656956,-83.606964,0.05385165,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:371,-32,15.3,0.0,-0.1,41.656956,-83.606964,0.05385165,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:411,-33,15.3,0.0,-0.1,41.656956,-83.606964,0.05385165,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:451,-32,15.3,0.0,-0.1,41.656956,-83.606964,0.05385165,false,0,15,2.72,0.23000336,0.55,255,97,245,16,1,5,0,0.8
20170727 08:54:16:514,-37,15.3,0.0,-0.11,41.656956,-83.606964,0.07874008,false,0,15,2.72,0.23000336,0.55,255,97,245,16,1,5,0,0.8
20170727 08:54:16:532,-34,15.3,0.0,-0.12,41.656956,-83.606964,0.07874008,false,0,15,2.72,0.23000336,0.55,255,97,245,16,1,5,0,0.8
20170727 08:54:16:570,-34,15.3,0.0,-0.12,41.656956,-83.606964,0.07874008,false,0,15,2.72,0.23000336,0.55,255,97,245,16,1,5,0,0.8
20170727 08:54:16:609,-35,15.3,0.0,-0.12,41.656956,-83.606964,0.07874008,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:650,-35,15.3,0.0,-0.12,41.656956,-83.606964,0.07874008,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:690,-33,15.3,0.0,-0.12,41.656956,-83.606964,0.112249725,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:730,-34,15.3,0.0,-0.12,41.656956,-83.606964,0.112249725,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:772,-37,15.3,0.0,-0.13,41.656956,-83.606964,0.112249725,false,0,15,2.72,0.23000336,0.55,255,97,245,16,1,5,0,0.8
20170727 08:54:16:811,-32,15.3,0.0,-0.13,41.656956,-83.606964,0.112249725,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:852,-36,15.3,0.0,-0.14,41.656956,-83.606964,0.112249725,false,0,15,2.72,0.23999786,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:892,-32,15.3,0.0,-0.14,41.656956,-83.606964,0.024494898,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:929,-37,15.3,0.0,-0.14,41.656956,-83.606964,0.017320508,false,0,15,2.72,0.23000336,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:16:971,-32,15.3,0.0,-0.14,41.656956,-83.606964,0.017320508,false,0,15,2.72,0.23999786,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:17:009,-33,15.3,0.0,-0.15,41.656956,-83.606964,0.017320508,false,0,15,2.72,0.23999786,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:17:048,-33,15.3,0.0,-0.15,41.656956,-83.606964,0.017320508,false,0,15,2.73,0.23999786,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:17:102,-37,15.3,0.0,-0.15,41.656956,-83.606964,0.071414284,false,0,15,2.73,0.23999786,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:17:130,-33,15.3,0.0,-0.15,41.656956,-83.606964,0.070710674,false,0,15,2.73,0.23999786,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:17:171,-39,15.3,0.0,-0.15,41.656956,-83.606964,0.070710674,false,0,15,2.73,0.23999786,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:17:211,-37,15.3,0.0,-0.15,41.656956,-83.606964,0.070710674,false,0,15,2.73,0.23999786,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:17:252,-41,15.3,0.0,-0.16,41.656956,-83.606964,0.070710674,false,0,15,2.73,0.23999786,0.56,255,97,245,16,1,5,0,0.8
20170727 08:54:17:338,-38,15.3,0.0,-0.15,41.656956,-83.606964,0.02,false,0,15,2.73,0.23999786,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:345,-42,15.3,0.0,-0.15,41.65695,-83.606964,0.02,false,0,15,2.73,0.23999786,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:371,-43,15.3,0.0,-0.15,41.65695,-83.606964,0.02,false,0,15,2.73,0.23999786,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:411,-43,15.3,0.0,-0.16,41.65695,-83.606964,0.02,false,0,15,2.73,0.23999786,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:452,-41,15.3,0.0,-0.16,41.65695,-83.606964,0.02,false,0,15,2.73,0.23999786,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:515,-43,15.3,0.0,-0.16,41.65695,-83.606964,0.04,false,0,15,2.73,0.23999786,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:532,-43,15.3,0.0,-0.16,41.65695,-83.606964,0.041231055,false,0,15,2.73,0.23999786,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:573,-43,15.3,0.0,-0.16,41.65695,-83.606964,0.041231055,false,0,15,2.73,0.23999786,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:615,-46,15.3,0.0,-0.17,41.65695,-83.606964,0.041231055,false,0,15,2.74,0.23999786,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:652,-43,15.3,0.0,-0.17,41.65695,-83.606964,0.041231055,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:699,-41,15.3,0.0,-0.17,41.65695,-83.606964,0.022360679,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:733,-43,15.3,0.0,-0.17,41.65695,-83.606964,0.044721358,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:770,-46,15.3,0.0,-0.17,41.65695,-83.606964,0.044721358,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:810,-43,15.3,0.0,-0.18,41.65695,-83.606964,0.044721358,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:851,-43,15.3,0.0,-0.18,41.65695,-83.606964,0.044721358,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:891,-43,15.3,0.0,-0.18,41.65695,-83.606964,0.05385165,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:931,-43,15.3,0.0,-0.18,41.65695,-83.606964,0.041231055,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:17:971,-40,15.3,0.0,-0.19,41.65695,-83.606964,0.041231055,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:012,-41,15.3,0.0,-0.19,41.65695,-83.606964,0.041231055,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:054,-43,15.3,0.0,-0.19,41.65695,-83.606964,0.041231055,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:111,-38,15.3,0.0,-0.2,41.65695,-83.606964,2.5402558,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:133,-41,15.3,0.0,-0.2,41.65695,-83.606964,0.046904158,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:173,-37,15.3,0.0,-0.2,41.65695,-83.606964,0.046904158,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:211,-42,15.3,0.0,-0.2,41.65695,-83.606964,0.046904158,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:252,-37,15.3,0.0,-0.2,41.65695,-83.606964,0.046904158,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:291,-38,15.3,0.0,-0.2,41.65695,-83.606964,2.530336,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:331,-38,15.3,0.0,-0.2,41.65695,-83.606964,0.042426404,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:372,-41,15.3,0.0,-0.21,41.65695,-83.606964,0.042426404,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:413,-37,15.3,0.0,-0.21,41.65695,-83.606964,0.042426404,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:453,-41,15.3,0.0,-0.22,41.65695,-83.606964,0.042426404,false,0,15,2.74,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:524,-39,15.3,0.0,-0.22,41.65695,-83.606964,0.037416574,false,0,15,2.75,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:547,-41,15.3,0.0,-0.22,41.65695,-83.606964,0.078740075,false,0,15,2.75,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:574,-39,15.3,0.0,-0.22,41.65695,-83.606964,0.078740075,false,0,15,2.75,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:613,-41,15.3,0.0,-0.22,41.65695,-83.606964,0.078740075,false,0,15,2.75,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:675,-37,15.3,0.0,-0.23,41.65695,-83.606964,0.078740075,false,0,15,2.75,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:714,-37,15.3,0.0,-0.22,41.65695,-83.606964,0.05656854,false,0,15,2.75,0.25,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:755,-37,15.3,0.0,-0.22,41.65695,-83.606964,0.05656854,false,0,15,2.75,0.26000214,0.57,255,97,245,16,1,5,0,0.75
20170727 08:54:18:795,-41,15.3,0.0,-0.23,41.65695,-83.606964,0.05656854,false,0,15,2.75,0.26000214,0.57,255,97,245,16,1,5,0,0.75
20170727 08:54:18:836,-41,15.3,0.0,-0.23,41.65695,-83.606964,0.05656854,false,0,15,2.75,0.26000214,0.57,255,97,245,16,1,5,0,0.75
20170727 08:54:18:876,-40,15.3,0.0,-0.23,41.65695,-83.606964,0.05656854,false,0,15,2.75,0.26000214,0.57,255,97,245,16,1,5,0,0.75
20170727 08:54:18:918,-37,15.3,0.0,-0.23,41.65695,-83.606964,0.050990194,false,0,15,2.75,0.26000214,0.57,255,97,245,16,1,5,0,0.75
20170727 08:54:18:954,-41,15.3,0.0,-0.23,41.65695,-83.606964,0.050990194,false,0,15,2.75,0.26000214,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:18:994,-38,15.3,0.0,-0.24,41.65695,-83.606964,0.050990194,false,0,15,2.75,0.26000214,0.57,255,97,245,16,1,5,0,0.75
20170727 08:54:19:034,-37,15.3,0.0,-0.23,41.65695,-83.606964,0.050990194,false,0,15,2.75,0.26000214,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:19:080,-41,15.3,0.0,-0.23,41.65695,-83.606964,0.050990194,false,0,15,2.75,0.26000214,0.57,255,97,245,16,1,5,0,0.75
20170727 08:54:19:114,-41,15.3,0.0,-0.23,41.65695,-83.606964,0.041231055,false,0,15,2.75,0.26000214,0.57,255,97,245,16,1,5,0,0.75
20170727 08:54:19:156,-37,15.3,0.0,-0.23,41.65695,-83.606964,0.041231055,false,0,15,2.75,0.26000214,0.57,255,97,245,16,1,5,0,0.75
20170727 08:54:19:193,-41,15.3,0.0,-0.23,41.65695,-83.606964,0.041231055,false,0,15,2.75,0.26000214,0.57,255,97,245,16,1,5,0,0.75
20170727 08:54:19:233,-41,15.3,0.0,-0.23,41.65695,-83.606964,0.041231055,false,0,15,2.75,0.26000214,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:19:273,-41,15.3,0.0,-0.23,41.65695,-83.606964,0.041231055,false,0,15,2.75,0.26000214,0.56,255,97,245,16,1,5,0,0.7
20170727 08:54:19:314,-38,15.3,0.0,-0.23,41.65695,-83.606964,0.034641016,false,0,15,2.75,0.26000214,0.56,255,97,245,16,1,5,0,0.7
20170727 08:54:19:373,-37,15.3,0.0,-0.24,41.65695,-83.606964,0.034641016,false,0,15,2.75,0.26000214,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:418,-37,15.3,0.0,-0.24,41.65695,-83.606964,0.034641016,false,0,15,2.75,0.26999664,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:442,0,15.3,0.0,-0.22999999,41.65695,-83.606964,0.041231055,false,0,15,2.75,0.26000214,0.57,255,97,245,16,1,5,0,0.75
20170727 08:54:19:447,0,15.3,0.0,-0.22999999,41.65695,-83.606964,0.041231055,false,0,15,2.75,0.26000214,0.56,255,97,245,16,1,5,0,0.75
20170727 08:54:19:453,0,15.3,0.0,-0.22999999,41.65695,-83.606964,0.034641016,false,0,15,2.75,0.26000214,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:461,-40,15.3,0.0,-0.24,41.65695,-83.606964,0.034641016,false,0,15,2.75,0.26999664,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:476,-37,15.3,0.0,-0.24,41.65695,-83.606964,0.034641016,false,0,15,2.75,0.26999664,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:533,-38,15.3,0.0,-0.24,41.65695,-83.606964,0.017320508,false,0,15,2.75,0.26999664,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:544,0,15.3,0.0,-0.24,41.65695,-83.606964,0.034641016,false,0,15,2.75,0.27000427,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:556,-41,15.3,0.0,-0.24,41.65695,-83.606964,0.017320508,false,0,15,2.75,0.26999664,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:593,-37,15.3,0.0,-0.24,41.65695,-83.606964,0.017320508,false,0,15,2.75,0.26999664,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:654,-41,15.3,0.0,-0.24,41.65695,-83.606964,0.017320508,false,0,15,2.75,0.26999664,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:695,-37,15.3,0.0,-0.25,41.65695,-83.606964,0.071414284,false,0,15,2.75,0.26999664,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:720,0,15.3,0.0,-0.24,41.65695,-83.606964,0.017320508,false,0,15,2.75,0.27000427,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:743,0,15.3,0.0,-0.25,41.65695,-83.606964,0.017320508,false,0,15,2.75,0.27000427,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:748,-41,15.3,0.0,-0.25,41.65695,-83.606964,0.070710674,false,0,15,2.75,0.26999664,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:788,-38,15.3,0.0,-0.26,41.65695,-83.606964,0.070710674,false,0,15,2.75,0.26999664,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:821,-40,15.3,0.0,-0.26,41.65695,-83.606964,0.070710674,false,0,15,2.75,0.26999664,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:847,0,15.3,0.0,-0.26,41.65695,-83.606964,0.070710674,false,0,15,2.75,0.27000427,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:857,-37,15.3,0.0,-0.26,41.65695,-83.606964,0.070710674,false,0,15,2.75,0.26999664,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:889,0,15.3,0.0,-0.26,41.65695,-83.606964,0.070710674,false,0,15,2.75,0.27000427,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:907,-40,15.3,0.0,-0.26,41.65695,-83.606964,2.5612693,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:937,-40,15.3,0.0,-0.26,41.65695,-83.606964,0.081240386,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:19:987,-40,15.3,0.0,-0.26,41.65695,-83.606964,0.081240386,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:021,-38,15.3,0.0,-0.26,41.65695,-83.606964,0.081240386,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:058,-38,15.3,0.0,-0.27,41.65695,-83.606964,0.081240386,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:117,-37,15.3,0.0,-0.27,41.65695,-83.606964,2.5503333,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:139,0,15.3,0.0,-0.26,41.65695,-83.606964,0.081240386,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:146,0,15.3,0.0,-0.26999998,41.65695,-83.606964,0.081240386,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:152,-38,15.3,0.0,-0.26,41.65695,-83.606964,0.045825757,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:180,-40,15.3,0.0,-0.26,41.65695,-83.606964,0.045825757,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:232,0,15.3,0.0,-0.26,41.65695,-83.606964,0.045825757,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:256,-40,15.3,0.0,-0.26,41.65695,-83.606964,0.045825757,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:291,-37,15.3,0.0,-0.27,41.65695,-83.606964,0.045825757,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:321,-37,15.3,0.0,-0.27,41.65695,-83.606964,0.02828427,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:375,-40,15.3,0.0,-0.28,41.65695,-83.606964,0.02828427,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:402,-40,15.3,0.0,-0.27,41.65695,-83.606964,0.02828427,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:438,-37,15.3,0.0,-0.27,41.65695,-83.606964,0.02828427,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:478,-40,15.3,0.0,-0.28,41.65695,-83.606964,0.02828427,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:542,-40,15.3,0.0,-0.28,41.65695,-83.606964,0.071414284,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
20170727 08:54:20:561,0,15.3,0.0,-0.26999998,41.65695,-83.606964,0.045825757,false,0,15,2.75,0.27999878,0.57,255,97,245,16,1,5,0,0.7
